# question	ground_truth	good_answer	bad_answer
What is the capital of France?	The capital of France is Paris.	The capital of France is Paris.	The answer is Berlin.
What is the capital of France?	The capital of France is Paris.	The correct answer is Paris.	In short, Berlin.
What is the capital of France?	The capital of France is Paris.	In short, Paris.	The relevant result is Berlin.
What is the capital of France?	The capital of France is Paris.	The relevant result is Paris.	This is Berlin.
What does HTTP stand for?	HTTP stands for Hypertext Transfer Protocol.	HTTP stands for Hypertext Transfer Protocol.	The answer is a database format.
What does HTTP stand for?	HTTP stands for Hypertext Transfer Protocol.	The correct answer is Hypertext Transfer Protocol.	In short, a database format.
What does HTTP stand for?	HTTP stands for Hypertext Transfer Protocol.	In short, Hypertext Transfer Protocol.	The relevant result is a database format.
What does HTTP stand for?	HTTP stands for Hypertext Transfer Protocol.	The relevant result is Hypertext Transfer Protocol.	This is a database format.
How many days are in a leap year?	A leap year has 366 days.	A leap year has 366 days.	The answer is 365 days.
How many days are in a leap year?	A leap year has 366 days.	The correct answer is 366 days.	In short, 365 days.
How many days are in a leap year?	A leap year has 366 days.	In short, 366 days.	The relevant result is 365 days.
How many days are in a leap year?	A leap year has 366 days.	The relevant result is 366 days.	This is 365 days.
What is the boiling point of water at sea level?	Water boils at 100 degrees Celsius at sea level.	Water boils at 100 degrees Celsius at sea level.	The answer is zero degrees Celsius.
What is the boiling point of water at sea level?	Water boils at 100 degrees Celsius at sea level.	The correct answer is 100 degrees Celsius at sea level.	In short, zero degrees Celsius.
What is the boiling point of water at sea level?	Water boils at 100 degrees Celsius at sea level.	In short, 100 degrees Celsius at sea level.	The relevant result is zero degrees Celsius.
What is the boiling point of water at sea level?	Water boils at 100 degrees Celsius at sea level.	The relevant result is 100 degrees Celsius at sea level.	This is zero degrees Celsius.
What is Rust used for?	Rust is a programming language focused on safety and performance.	Rust is a programming language focused on safety and performance.	The answer is a markup language.
What is Rust used for?	Rust is a programming language focused on safety and performance.	The correct answer is a programming language focused on safety and performance.	In short, a markup language.
What is Rust used for?	Rust is a programming language focused on safety and performance.	In short, a programming language focused on safety and performance.	The relevant result is a markup language.
What is Rust used for?	Rust is a programming language focused on safety and performance.	The relevant result is a programming language focused on safety and performance.	This is a markup language.
What is the largest planet in the Solar System?	Jupiter is the largest planet in the Solar System.	Jupiter is the largest planet in the Solar System.	The answer is Mars.
What is the largest planet in the Solar System?	Jupiter is the largest planet in the Solar System.	The correct answer is Jupiter.	In short, Mars.
What is the largest planet in the Solar System?	Jupiter is the largest planet in the Solar System.	In short, Jupiter.	The relevant result is Mars.
What is the largest planet in the Solar System?	Jupiter is the largest planet in the Solar System.	The relevant result is Jupiter.	This is Mars.
What does CPU mean?	CPU means central processing unit.	CPU means central processing unit.	The answer is computer power utility.
What does CPU mean?	CPU means central processing unit.	The correct answer is central processing unit.	In short, computer power utility.
What does CPU mean?	CPU means central processing unit.	In short, central processing unit.	The relevant result is computer power utility.
What does CPU mean?	CPU means central processing unit.	The relevant result is central processing unit.	This is computer power utility.
What is a hash function?	A hash function maps input data to a fixed-size value.	A hash function maps input data to a fixed-size value.	The answer is always encrypts data reversibly.
What is a hash function?	A hash function maps input data to a fixed-size value.	The correct answer is maps input data to a fixed-size value.	In short, always encrypts data reversibly.
What is a hash function?	A hash function maps input data to a fixed-size value.	In short, maps input data to a fixed-size value.	The relevant result is always encrypts data reversibly.
What is a hash function?	A hash function maps input data to a fixed-size value.	The relevant result is maps input data to a fixed-size value.	This is always encrypts data reversibly.
What is photosynthesis?	Photosynthesis is the process by which plants use light to make chemical energy.	Photosynthesis is the process by which plants use light to make chemical energy.	The answer is the process of freezing water.
What is photosynthesis?	Photosynthesis is the process by which plants use light to make chemical energy.	The correct answer is the process by which plants use light to make chemical energy.	In short, the process of freezing water.
What is photosynthesis?	Photosynthesis is the process by which plants use light to make chemical energy.	In short, the process by which plants use light to make chemical energy.	The relevant result is the process of freezing water.
What is photosynthesis?	Photosynthesis is the process by which plants use light to make chemical energy.	The relevant result is the process by which plants use light to make chemical energy.	This is the process of freezing water.
What is a primary key?	A primary key uniquely identifies a row in a database table.	A primary key uniquely identifies a row in a database table.	The answer is duplicates a row identifier.
What is a primary key?	A primary key uniquely identifies a row in a database table.	The correct answer is uniquely identifies a row in a database table.	In short, duplicates a row identifier.
What is a primary key?	A primary key uniquely identifies a row in a database table.	In short, uniquely identifies a row in a database table.	The relevant result is duplicates a row identifier.
What is a primary key?	A primary key uniquely identifies a row in a database table.	The relevant result is uniquely identifies a row in a database table.	This is duplicates a row identifier.
What is an IPv4 address?	An IPv4 address is a 32-bit address written as four octets.	An IPv4 address is a 32-bit address written as four octets.	The answer is a 128-bit address.
What is an IPv4 address?	An IPv4 address is a 32-bit address written as four octets.	The correct answer is a 32-bit address written as four octets.	In short, a 128-bit address.
What is an IPv4 address?	An IPv4 address is a 32-bit address written as four octets.	In short, a 32-bit address written as four octets.	The relevant result is a 128-bit address.
What is an IPv4 address?	An IPv4 address is a 32-bit address written as four octets.	The relevant result is a 32-bit address written as four octets.	This is a 128-bit address.
What is the purpose of TLS?	TLS helps protect data in transit using encryption and authentication.	TLS helps protect data in transit using encryption and authentication.	The answer is compresses images only.
What is the purpose of TLS?	TLS helps protect data in transit using encryption and authentication.	The correct answer is protects data in transit using encryption and authentication.	In short, compresses images only.
What is the purpose of TLS?	TLS helps protect data in transit using encryption and authentication.	In short, protects data in transit using encryption and authentication.	The relevant result is compresses images only.
What is the purpose of TLS?	TLS helps protect data in transit using encryption and authentication.	The relevant result is protects data in transit using encryption and authentication.	This is compresses images only.
What is the chemical formula for water?	The chemical formula for water is H2O.	The chemical formula for water is H2O.	The answer is CO2.
What is the chemical formula for water?	The chemical formula for water is H2O.	The correct answer is H2O.	In short, CO2.
What is the chemical formula for water?	The chemical formula for water is H2O.	In short, H2O.	The relevant result is CO2.
What is the chemical formula for water?	The chemical formula for water is H2O.	The relevant result is H2O.	This is CO2.
Which planet is known as the Red Planet?	Mars is known as the Red Planet.	Mars is known as the Red Planet.	The answer is Venus.
Which planet is known as the Red Planet?	Mars is known as the Red Planet.	The correct answer is Mars.	In short, Venus.
Which planet is known as the Red Planet?	Mars is known as the Red Planet.	In short, Mars.	The relevant result is Venus.
Which planet is known as the Red Planet?	Mars is known as the Red Planet.	The relevant result is Mars.	This is Venus.
What is the square root of 64?	The square root of 64 is 8.	The square root of 64 is 8.	The answer is 6.
What is the square root of 64?	The square root of 64 is 8.	The correct answer is 8.	In short, 6.
What is the square root of 64?	The square root of 64 is 8.	In short, 8.	The relevant result is 6.
What is the square root of 64?	The square root of 64 is 8.	The relevant result is 8.	This is 6.
What decimal number is binary 10?	Binary 10 represents decimal 2.	Binary 10 represents decimal 2.	The answer is decimal 10.
What decimal number is binary 10?	Binary 10 represents decimal 2.	The correct answer is decimal 2.	In short, decimal 10.
What decimal number is binary 10?	Binary 10 represents decimal 2.	In short, decimal 2.	The relevant result is decimal 10.
What decimal number is binary 10?	Binary 10 represents decimal 2.	The relevant result is decimal 2.	This is decimal 10.
Which planet is third from the Sun?	Earth is the third planet from the Sun.	Earth is the third planet from the Sun.	The answer is Jupiter.
Which planet is third from the Sun?	Earth is the third planet from the Sun.	The correct answer is Earth.	In short, Jupiter.
Which planet is third from the Sun?	Earth is the third planet from the Sun.	In short, Earth.	The relevant result is Jupiter.
Which planet is third from the Sun?	Earth is the third planet from the Sun.	The relevant result is Earth.	This is Jupiter.
What is the approximate speed of light?	The speed of light is approximately 299792 kilometers per second.	The speed of light is approximately 299792 kilometers per second.	The answer is approximately 300 kilometers per second.
What is the approximate speed of light?	The speed of light is approximately 299792 kilometers per second.	The correct answer is approximately 299792 kilometers per second.	In short, approximately 300 kilometers per second.
What is the approximate speed of light?	The speed of light is approximately 299792 kilometers per second.	In short, approximately 299792 kilometers per second.	The relevant result is approximately 300 kilometers per second.
What is the approximate speed of light?	The speed of light is approximately 299792 kilometers per second.	The relevant result is approximately 299792 kilometers per second.	This is approximately 300 kilometers per second.
What kind of language is Python?	Python is an interpreted programming language.	Python is an interpreted programming language.	The answer is a compiled markup language.
What kind of language is Python?	Python is an interpreted programming language.	The correct answer is an interpreted programming language.	In short, a compiled markup language.
What kind of language is Python?	Python is an interpreted programming language.	In short, an interpreted programming language.	The relevant result is a compiled markup language.
What kind of language is Python?	Python is an interpreted programming language.	The relevant result is an interpreted programming language.	This is a compiled markup language.
What shape does DNA commonly form?	DNA commonly forms a double helix.	DNA commonly forms a double helix.	The answer is a single flat sheet.
What shape does DNA commonly form?	DNA commonly forms a double helix.	The correct answer is a double helix.	In short, a single flat sheet.
What shape does DNA commonly form?	DNA commonly forms a double helix.	In short, a double helix.	The relevant result is a single flat sheet.
What shape does DNA commonly form?	DNA commonly forms a double helix.	The relevant result is a double helix.	This is a single flat sheet.
What is carbon's atomic number?	Carbon has atomic number 6.	Carbon has atomic number 6.	The answer is 12.
What is carbon's atomic number?	Carbon has atomic number 6.	The correct answer is 6.	In short, 12.
What is carbon's atomic number?	Carbon has atomic number 6.	In short, 6.	The relevant result is 12.
What is carbon's atomic number?	Carbon has atomic number 6.	The relevant result is 6.	This is 12.
What is the largest ocean on Earth?	The Pacific Ocean is the largest ocean on Earth.	The Pacific Ocean is the largest ocean on Earth.	The answer is the Arctic Ocean.
